system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,class,random,.geo
1_1_1_00000000000000000001_0,0.3026,0.1684,0.0495,0.0716,0.08,0.2735,0.050512064,0.5473833,0,0.7549326113203738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.871532592861513,46.69743782473453]}"
1_1_1_00000000000000000003_0,0.0094,0.0052,0.0912,0.0889,0.0211,0.0086,0.04444442,-0.4208754,0,0.8191846647170701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.887702267975665,46.69204793302981]}"
1_1_1_0000000000000000000e_0,0.3187,0.278,0.0717,0.097,0.1412,0.2536,0.1137515,0.2847011,0,0.8209537750194542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.890756539941671,46.68504107381368]}"
1_1_1_0000000000000000000f_0,0.3177,0.2863,0.0814,0.1012,0.1284,0.2146,0.19368778,0.25131196,0,0.7456733786279662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891565023697378,46.68504107381368]}"
1_1_1_00000000000000000015_0,0.3336,0.3024,0.0644,0.0829,0.1166,0.234,0.17547572,0.33485454,0,0.8124034894241949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.855362917747361,46.679471519052136]}"
1_1_1_00000000000000000016_0,0.20125,0.1727,0.1019,0.1119,0.1304,0.16075,0.111878455,0.104241796,0,0.946811965432917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.851140835912,46.67956135058055]}"
1_1_1_00000000000000000020_0,0.1597,0.1449,0.0697,0.0742,0.0783,0.1,0.22988065,0.121705,0,0.8951283664643548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886624289634721,46.688275008836506]}"
1_1_1_00000000000000000022_0,0.1481,0.1425,0.0568,0.0669,0.0819,0.0986,0.20064858,0.09252077,0,0.9157568000584695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.885276816708542,46.68908349259222]}"
1_1_1_00000000000000000024_0,0.2356,0.1918,0.0705,0.1018,0.1168,0.2016,0.0777676,0.26633164,0,0.8905205342978179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.879437767361765,46.68656820979668]}"
1_1_1_00000000000000000027_0,0.3391,0.2261,0.0529,0.0688,0.173,0.2361,0.17906815,0.15424104,0,0.7738478227155103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873508886486576,46.6836936008875]}"
1_1_1_00000000000000000028_0,0.3006,0.2461,0.0443,0.0785,0.0611,0.3497,-0.07550363,0.70253164,0,0.7826280293394412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.862729103077141,46.68099865503514]}"
1_1_1_0000000000000000002a_0,0.2808,0.2737,0.0728,0.0912,0.119,0.1589,0.27723452,0.14357679,0,0.8427679288391445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.863268092247614,46.681178318091966]}"
1_1_1_0000000000000000003a_0,0.2824,0.2722,0.0745,0.0852,0.0932,0.1634,0.26693588,0.27357754,0,0.7823399633337075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.865513880457912,46.68908349259222]}"
1_1_1_0000000000000000003f_0,0.267,0.2086,0.131,0.1424,0.1466,0.2426,0.047880683,0.24665983,0,0.9000348300396304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875575011640051,46.686658041325096]}"
1_1_1_0000000000000000004a_0,0.1657,0.1319,0.0483,0.0607,0.0697,0.1177,0.1693719,0.2561366,0,0.8504050556708131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.858686684298604,46.68360376935909]}"
1_1_2_0000000000000000001f_0,0.3867,0.2511,0.0445,0.063,0.1634,0.223,0.2684927,0.15424433,0,0.8056343630751641,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.871352929804689,46.68423259005797]}"
1_1_2_00000000000000000000_0,0.3757,0.2464,0.0484,0.0774,0.0633,0.187,0.3353474,0.49420696,0,0.7572988667678857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.878988609719705,46.69222759608663]}"
1_1_2_0000000000000000003d_0,0.2681,0.2364,0.0527,0.065,0.0733,0.1373,0.3226443,0.30389366,0,0.7277416617477037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868388489367095,46.6836936008875]}"
1_1_2_00000000000000000039_0,0.198,0.1687,0.0588,0.0635,0.0692,0.1074,0.29666013,0.21630803,0,0.8776568805100102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.858327358184956,46.68342410630226]}"
1_1_2_00000000000000000035_0,0.1675,0.1445,0.0697,0.0708,0.0772,0.1064,0.22307414,0.15904136,0,0.767508972611045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.852937466480239,46.678483372239604]}"
1_1_2_00000000000000000022_0,0.2004,0.148,0.0658,0.0773,0.076,0.1167,0.26395458,0.21120915,0,0.8462141785921931,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875575011640051,46.686837704381915]}"
1_1_2_00000000000000000006_0,0.2885,0.2831,0.0655,0.0801,0.1036,0.1537,0.30483946,0.19471431,0,0.900659447893835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.88339035461189,46.68656820979668]}"
1_1_2_00000000000000000032_0,0.2665,0.2493,0.0678,0.0802,0.0925,0.1622,0.24329366,0.2736553,0,0.7968698040414899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.865783375043148,46.68881399800698]}"
1_1_2_00000000000000000046_0,0.2339,0.2422,0.072,0.0798,0.0782,0.0945,0.42448235,0.09438333,0,0.9414054767612988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86910714159439,46.69052079704681]}"
1_1_2_00000000000000000013_0,0.2524,0.2574,0.0666,0.0724,0.0907,0.1099,0.39332047,0.09571285,0,0.922181139228842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.855183254690537,46.68234612796132]}"
1_1_2_00000000000000000048_0,0.1563,0.1429,0.0703,0.0741,0.0772,0.0988,0.22540176,0.122727275,0,0.7390905724998422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886893784219957,46.688275008836506]}"
1_1_2_00000000000000000005_0,0.2099,0.1892,0.0708,0.0737,0.076,0.1056,0.33058637,0.1629956,0,0.786964345234483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8823123762709475,46.6867478728535]}"
1_1_2_00000000000000000021_0,0.1899,0.1718,0.0824,0.0952,0.1032,0.1304,0.18576333,0.116438344,0,0.8841873359400256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875395348583227,46.68387326394432]}"
1_1_2_0000000000000000003b_0,0.2023,0.1761,0.0788,0.0874,0.0876,0.1233,0.24262898,0.16927454,0,0.9542290085598789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864166407531733,46.68477157922844]}"
1_1_2_00000000000000000045_0,0.0484,0.0353,0.0828,0.084,0.03535,0.0205,0.40493467,-0.26589075,0,0.8826969259687083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864795228230617,46.69016147093316]}"
1_1_2_00000000000000000047_0,0.2322,0.2121,0.0769,0.0934,0.1076,0.1412,0.24370645,0.13504824,0,0.7097153513049156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.889229403958668,46.68845467189333]}"
1_1_2_00000000000000000041_0,0.0467,0.0318,0.0855,0.0846,0.0427,0.0176,0.45256612,-0.41625208,0,0.8963997036936645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.872251245088808,46.692766585257104]}"
1_1_2_00000000000000000042_0,0.05255,0.0283,0.0874,0.0862,0.031,0.0207,0.43481228,-0.19922629,0,0.7258336870168083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875395348583227,46.69294624831393]}"
1_1_2_00000000000000000014_0,0.2808,0.2737,0.0982,0.1122,0.1346,0.1693,0.24772274,0.114182316,0,0.7302760678370368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.863357923776025,46.681178318091966]}"
1_1_2_0000000000000000002a_0,0.2577,0.2429,0.0987,0.1132,0.1487,0.18645,0.16041876,0.11263615,0,0.9273520987486071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.85572224386101,46.68360376935909]}"
1_1_2_00000000000000000023_0,0.18945,0.18105,0.10255,0.1104,0.1076,0.12015,0.2238372,0.055104263,0,0.9095349073739353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.882402207799359,46.68360376935909]}"
1_1_2_0000000000000000003e_0,0.3047,0.2843,0.1062,0.1216,0.1294,0.1924,0.22591028,0.19577375,0,0.8431297551785958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.874946190941167,46.68980214481951]}"
1_1_2_00000000000000000003_0,0.2921,0.1984,0.1086,0.104,0.1068,0.1139,0.43891627,0.03217037,0,0.9890553721132609,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.888780246316608,46.68926315564904]}"
1_2_1_00000000000000000052_0,0.1958,0.0895,0.0276,0.0611,0.0315,0.3739,-0.31262067,0.84459794,1,0.9761305230740569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.88105473487318,46.691149617745694]}"
1_2_1_00000000000000000057_0,0.1538,0.0965,0.0201,0.039,0.0221,0.2514,-0.2408687,0.83839124,1,0.9185084887359025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.880695408759532,46.688095345779686]}"
1_2_1_0000000000000000005c_0,0.2177,0.1045,0.0272,0.0683,0.0308,0.4377,-0.33567286,0.86851656,1,0.8491343446546654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886714121163133,46.68459191617162]}"
1_2_1_0000000000000000005e_0,0.2403,0.1235,0.0355,0.0762,0.0436,0.4062,-0.2566125,0.8061361,1,0.7614472954595404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891654855225791,46.682256296432904]}"
