system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,class,random,.geo
1_1_1_00000000000000000000_0,0.3328,0.2147,0.0577,0.0698,0.0966,0.2052,0.23717472,0.35984093,0,0.30382503447285447,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.871173266747865,46.697976813905]}"
1_1_1_00000000000000000002_0,0.0171,0.0114,0.0213,0.0283,0.0082,0.017,0.0029325462,0.34920636,0,0.1090431592808232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.889768393129139,46.691149617745694]}"
1_1_1_00000000000000000004_0,0.0091,0.0061,0.0902,0.0889,0.0245,0.0078,0.07692311,-0.51702785,0,0.14065990540123707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.888780246316608,46.69204793302981]}"
1_1_1_00000000000000000005_0,0.3111,0.2059,0.0469,0.076,0.0579,0.2024,0.21168453,0.5551287,0,0.5012932198378637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.878719115134469,46.6919581015014]}"
1_1_1_00000000000000000006_0,0.2487,0.2298,0.1378,0.1516,0.1642,0.1894,0.1353572,0.071266994,0,0.6935754796047585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875934337753699,46.6919581015014]}"
1_1_1_00000000000000000007_0,0.1728,0.1513,0.0743,0.0815,0.0904,0.1136,0.20670392,0.113725476,0,0.05885911234179664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.877551305265114,46.68926315564904]}"
1_1_1_00000000000000000008_0,0.1869,0.1677,0.075,0.0869,0.0847,0.1283,0.18591373,0.20469481,0,0.27122137090301235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.874407201770696,46.689981807876336]}"
1_1_1_00000000000000000009_0,0.084,0.0736,0.09725,0.09605,0.0384,0.0191,0.62948596,-0.3356522,0,0.12474690885365647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868837647009155,46.69159877538775]}"
1_1_1_0000000000000000000a_0,0.1466,0.1276,0.0878,0.092,0.0999,0.113,0.12942988,0.061531227,0,0.537877647193932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.869646130764862,46.69016147093316]}"
1_1_1_0000000000000000000b_0,0.3253,0.2881,0.0653,0.0789,0.0934,0.2028,0.23196363,0.36934504,0,0.5091457438607357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86955629923645,46.688724166478565]}"
1_1_1_0000000000000000000c_0,0.2608,0.2316,0.0673,0.0816,0.0896,0.1709,0.20824647,0.31209216,0,0.407151134350327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.871532592861513,46.687556356609214]}"
1_1_1_0000000000000000000d_0,0.3179,0.2182,0.0651,0.0842,0.1428,0.2067,0.21197103,0.1828326,0,0.5399444224141464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.871442761333101,46.684502084643206]}"
1_1_1_00000000000000000010_0,0.2813,0.2577,0.0985,0.118,0.1324,0.195,0.18118836,0.19120339,0,0.496952718569451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891654855225791,46.68387326394432]}"
1_1_1_00000000000000000011_0,0.3129,0.2684,0.0763,0.0975,0.1418,0.2445,0.12271261,0.26585555,0,0.22123758032867025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.890846371470083,46.682256296432904]}"
1_1_1_00000000000000000012_0,0.2432,0.2343,0.0567,0.0658,0.0856,0.1121,0.36898398,0.13404144,0,0.012820859736532464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856351064559893,46.68504107381368]}"
1_1_1_00000000000000000013_0,0.177,0.1776,0.0749,0.0819,0.0883,0.1205,0.18991597,0.15421456,0,0.013864384071336278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.855093423162126,46.684502084643206]}"
1_1_1_00000000000000000014_0,0.2207,0.1742,0.1256,0.1384,0.1368,0.1479,0.19750406,0.03898839,0,0.6589203345576263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8521289827245315,46.681627475734025]}"
1_1_1_00000000000000000017_0,0.2312,0.1992,0.1396,0.157,0.169,0.2071,0.05498515,0.101302855,0,0.621069219933169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.850961172855176,46.67749522542707]}"
1_1_1_00000000000000000018_0,0.2236,0.21035,0.05115,0.0625,0.0842,0.13355,0.25213495,0.22663605,0,0.2596713353620612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.855093423162126,46.68270545407497]}"
1_1_1_00000000000000000019_0,0.4214,0.3616,0.0733,0.123,0.2216,0.3428,0.10285268,0.21474132,0,0.23906877794665615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860842640980491,46.68558006298415]}"
1_1_1_0000000000000000001a_0,0.1662,0.1435,0.0582,0.0709,0.0701,0.1253,0.14030872,0.28249744,0,0.3509819054972768,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860034157224783,46.68800551425127]}"
1_1_1_0000000000000000001b_0,0.1723,0.1361,0.0659,0.0741,0.0791,0.1358,0.118468,0.2638437,0,0.43874609430190914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.862459608491906,46.68881399800698]}"
1_1_1_0000000000000000001c_0,0.0964,0.08,0.0398,0.0477,0.0471,0.0693,0.16354856,0.19072168,0,0.04445701443504191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864435902116969,46.68980214481951]}"
1_1_1_0000000000000000001d_0,0.1968,0.1582,0.0371,0.0482,0.0541,0.1317,0.19817352,0.41765338,0,0.44180510843812526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864166407531733,46.6874665250808]}"
1_1_1_0000000000000000001e_0,0.2049,0.1817,0.1346,0.1464,0.1494,0.155,0.13864961,0.018396864,0,0.683709179420453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.889678561600728,46.68953265023428]}"
1_1_1_0000000000000000001f_0,0.2856,0.213,0.1716,0.1804,0.1936,0.201,0.17385943,0.018753182,0,0.2647435251244016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.888690414788196,46.688993661063805]}"
1_1_1_00000000000000000021_0,0.3218,0.3181,0.091,0.1096,0.1344,0.1706,0.30706742,0.11868853,0,0.5810136962368206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.885007322123306,46.68980214481951]}"
1_1_1_00000000000000000023_0,0.2662,0.2563,0.0557,0.068,0.094,0.1595,0.250646,0.25838268,0,0.6401796871982938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.88339035461189,46.686658041325096]}"
1_1_1_00000000000000000025_0,0.2001,0.181,0.1376,0.1496,0.159,0.1803,0.052050494,0.06277631,0,0.32058643291713695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.882492039327771,46.68342410630226]}"
1_1_1_00000000000000000026_0,0.2513,0.2184,0.112,0.1348,0.1406,0.2142,0.07969925,0.20744084,0,0.5026113392397815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.877820799850349,46.68378343241591]}"
1_1_1_00000000000000000029_0,0.2971,0.2511,0.0451,0.064,0.0642,0.2229,0.14269231,0.55276906,0,0.6351773540608168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.861022304037315,46.68243595948973]}"
1_1_1_0000000000000000002b_0,0.1981,0.1532,0.1124,0.1176,0.1234,0.1656,0.08935936,0.14602076,0,0.16506815370743344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.85805786359972,46.680369834336254]}"
1_1_1_0000000000000000002c_0,0.2458,0.1876,0.0597,0.0897,0.0743,0.343,-0.1650815,0.6439013,0,0.6266060672947799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.858686684298604,46.68153764420561]}"
1_1_1_0000000000000000002d_0,0.3235,0.2935,0.0744,0.1164,0.2172,0.2802,0.07172437,0.12665865,0,0.1580257700347869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.854644265520066,46.68153764420561]}"
1_1_1_0000000000000000002e_0,0.2093,0.1999,0.0764,0.0841,0.0913,0.1326,0.22433461,0.18445732,0,0.06637514313848047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.853027298008651,46.68270545407497]}"
1_1_1_0000000000000000002f_0,0.0201,0.0143,0.0938,0.0897,0.0403,0.02,0.0024937615,-0.3366501,0,0.4934653795212297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.87323939190134,46.69285641678552]}"
1_1_1_00000000000000000030_0,0.2326,0.1825,0.0686,0.0818,0.0888,0.2192,0.029659148,0.42337662,0,0.0952326144191854,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873958044128636,46.694203889711694]}"
1_1_1_00000000000000000031_0,0.024,0.0122,0.0639,0.071,0.0235,0.0155,0.21518989,-0.2051282,0,0.3674478197660691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886893784219957,46.6919581015014]}"
1_1_1_00000000000000000032_0,0.2235,0.2104,0.0576,0.0752,0.0969,0.149,0.19999999,0.21187475,0,0.5523867311379222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891475192168967,46.689442818705864]}"
1_1_1_00000000000000000033_0,0.2121,0.1811,0.0572,0.0756,0.0831,0.2024,0.023401689,0.4178634,0,0.25895052238666416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.889768393129139,46.688095345779686]}"
1_1_1_00000000000000000034_0,0.1901,0.1741,0.0742,0.0901,0.0808,0.1169,0.23843649,0.1825999,0,0.16755936104839042,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864076576003321,46.68477157922844]}"
1_1_1_00000000000000000035_0,0.2,0.1377,0.0457,0.0664,0.0553,0.3283,-0.24285443,0.7116788,0,0.036500671550289354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.865963038099972,46.68602922062621]}"
1_1_1_00000000000000000036_0,0.2324,0.1869,0.0528,0.0815,0.0706,0.295,-0.11869547,0.6137855,0,0.35971093735419013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8663223642136195,46.68243595948973]}"
1_1_1_00000000000000000037_0,0.31575,0.31265,0.0671,0.08345,0.104,0.1695,0.30139107,0.2394881,0,0.5529614007926783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.852757803423415,46.67983084516578]}"
1_1_1_00000000000000000038_0,0.1931,0.1708,0.0806,0.0889,0.0943,0.2092,-0.04001986,0.37858316,0,0.38908699619685894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8532069610654744,46.67866303529643]}"
1_1_1_00000000000000000039_0,0.2294,0.2165,0.134,0.137,0.1534,0.2087,0.04724947,0.15272023,0,0.41449760060713725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.854734097048478,46.67965118210896]}"
1_1_1_0000000000000000003b_0,0.2413,0.2009,0.0395,0.056,0.0512,0.1836,0.13579668,0.56388414,0,0.10436725811656611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86865798395233,46.68818517730809]}"
1_1_1_0000000000000000003c_0,0.2984,0.2644,0.0592,0.081,0.0954,0.2491,0.09004569,0.44615385,0,0.34969633728015737,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868568152423919,46.68908349259222]}"
1_1_1_0000000000000000003d_0,0.2702,0.2313,0.0737,0.1058,0.0955,0.3234,-0.0896226,0.5440439,0,0.16510116657175822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.866861353384092,46.68953265023428]}"
1_1_1_0000000000000000003e_0,0.1671,0.1348,0.0922,0.1082,0.1106,0.1767,-0.027923208,0.23007308,0,0.5407640145568463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.876203832338934,46.68989197634792]}"
1_1_1_00000000000000000040_0,0.1605,0.1267,0.0897,0.1026,0.0991,0.1543,0.019695045,0.21783742,0,0.5071627246562276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.87737164220829,46.68836484036492]}"
1_1_1_00000000000000000041_0,0.1639,0.1368,0.0938,0.1064,0.1102,0.156,0.024695216,0.17205109,0,0.1967577501762766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.878898778191293,46.68908349259222]}"
1_1_1_00000000000000000042_0,0.2364,0.1908,0.062,0.0844,0.0846,0.2594,-0.046389706,0.50813955,0,0.344396545717077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.862818934605554,46.68342410630226]}"
1_1_1_00000000000000000043_0,0.2001,0.1737,0.0895,0.0991,0.1052,0.1513,0.1388731,0.17972709,0,0.3717560151964485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868568152423919,46.68486141075685]}"
1_1_1_00000000000000000044_0,0.2477,0.2117,0.063,0.0897,0.0943,0.2793,-0.059962045,0.495182,0,0.5907947772215532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868208826310271,46.6836936008875]}"
1_1_1_00000000000000000045_0,0.1745,0.1428,0.0819,0.0983,0.1007,0.1735,0.002873569,0.26549965,0,0.06143727959810075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.883210691555067,46.68881399800698]}"
1_1_1_00000000000000000046_0,0.1828,0.1652,0.0973,0.1092,0.1152,0.1393,0.1350512,0.0946955,0,0.3288484417024693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.882042881685711,46.68647837826827]}"
